start,duration,text,clean_text
282.96,4.519,you want to do compliance this is,youwanttodocompliancethisis
285.36,4.119,compliance and the most assuring part of,complianceandthemostassuringpartof
287.479,3.56,this technology is that within three or,thistechnologyisthatwithinthreeor
289.479,4.121,four years it will be the standard that,fouryearsitwillbethestandardthat
291.039,4.681,the government looks to to enforce AI,thegovernmentlookstotoenforceai
293.6,3.36,regulation so if you're talking about,regulationsoifyouretalkingabout
295.72,2.44,you know if right now if you call Delta,youknowifrightnowifyoucalldelta
296.96,3.4,Airlines because you had a trouble I,airlinesbecauseyouhadatroublei
298.16,4.44,don't know a few weeks ago some crowd,dontknowafewweeksagosomecrowd
300.36,4.0,you know you you call you call and the,youknowyouyoucallyoucallandthe
302.6,3.24,first thing you hear is this call is,firstthingyouhearisthiscallis
304.36,3.6,being being recorded for quality,beingbeingrecordedforquality
305.84,4.12,insurance there's no opt out you have no,insurancetheresnooptoutyouhaveno
307.96,5.959,ability to opt out it's by default opt,abilitytooptoutitsbydefaultopt
309.96,5.959,in and so in the very near future you as,inandsointheverynearfutureyouas
313.919,5.041,a consumer will have the ability to find,aconsumerwillhavetheabilitytofind
315.919,4.601,out where you've been recorded remove it,outwhereyouvebeenrecordedremoveit
318.96,3.359,and for that matter take advantage of,andforthatmattertakeadvantageof
320.52,4.08,what's learned from it and so when I,whatslearnedfromitandsowheni
322.319,3.561,look at the future communications I like,lookatthefuturecommunicationsilike
324.6,2.56,to think the last 30 years have been,tothinkthelast30yearshavebeen
325.88,3.36,interesting it got us to where we are,interestingitgotustowhereweare
327.16,3.72,today but what if I were to put my stake,todaybutwhatifiweretoputmystake
329.24,4.76,in the ground to say what the future is,inthegroundtosaywhatthefutureis
330.88,5.24,for us two words virtualized,forustwowordsvirtualized
334.0,4.4,conversations understanding that will,conversationsunderstandingthatwill
336.12,4.16,open the door of prosperity for the next,openthedoorofprosperityforthenext
338.4,4.359,few trillion dollars to come into this,fewtrilliondollarstocomeintothis
340.28,3.84,industry fascinating do you think that a,industryfascinatingdoyouthinkthata
342.759,3.44,lot of that's going to have to come down,lotofthatsgoingtohavetocomedown
344.12,3.639,sort of as a regulatory environment so,sortofasaregulatoryenvironmentso
346.199,3.321,like that pushing things like these,likethatpushingthingslikethese
347.759,3.081,virtual the Vons are very interesting,virtualthevonsareveryinteresting
349.52,2.04,topic for those of you who don't know,topicforthoseofyouwhodontknow
350.84,2.28,about it I think you're going be,aboutitithinkyouregoingbe
351.56,4.24,covering that tomorrow as well right yes,coveringthattomorrowaswellrightyes
353.12,4.639,Thomas and I will be right at about 1:45,thomasandiwillberightatabout145
355.8,3.959,um so that's very we you know dive into,umsothatsveryweyouknowdiveinto
357.759,5.201,the technical stuff then but do you,thetechnicalstuffthenbutdoyou
359.759,5.641,think that it is a regulation question,thinkthatitisaregulationquestion
362.96,4.12,where like the idea that people so in,whereliketheideathatpeoplesoin
365.4,4.28,Europe right there's a much more strict,europerighttheresamuchmorestrict
367.08,4.839,uh gdpr interpretation of what privacy,uhgdprinterpretationofwhatprivacy
369.68,4.48,and data sovereignty means and how to,anddatasovereigntymeansandhowto
371.919,3.84,get access to that does the US in,getaccesstothatdoestheusin
374.16,3.72,particular need that is that what we're,particularneedthatisthatwhatwere
375.759,3.84,going do you think that California what,goingdoyouthinkthatcaliforniawhat
377.88,4.24,do you what do you think about that the,doyouwhatdoyouthinkaboutthatthe
379.599,4.361,US needs lots of things uh but but the,usneedslotsofthingsuhbutbutthe
382.12,4.199,the the value from this will not come,thethevaluefromthiswillnotcome
383.96,3.88,from the threat of Regulation but rather,fromthethreatofregulationbutrather
386.319,3.841,the value to business people because,thevaluetobusinesspeoplebecause
387.84,4.12,imagine each of us here here are running,imagineeachofushereherearerunning
390.16,3.879,a large multinational corporation with,alargemultinationalcorporationwith
391.96,4.0,multiple operating divisions it'd be,multipleoperatingdivisionsitdbe
394.039,4.321,really nice to know how our sales were,reallynicetoknowhowoursaleswere
395.96,3.84,today how our sales were last week I,todayhowoursaleswerelastweeki
398.36,3.32,like to love to know who's calling with,liketolovetoknowwhoscallingwith
399.8,4.6,complaints I love to understand what the,complaintsilovetounderstandwhatthe
401.68,4.959,issues are and being able to have,issuesareandbeingabletohave
404.4,4.88,fact-based like you know if you will gbt,factbasedlikeyouknowifyouwillgbt
406.639,4.201,like access to information that's coming,likeaccesstoinformationthatscoming
409.28,4.359,through my do it's coming through the,throughmydoitscomingthroughthe
410.84,4.639,telephones so I could proactively run my,telephonessoicouldproactivelyrunmy
413.639,4.161,business based on what's Happening,businessbasedonwhatshappening
415.479,3.921,that's the game changers no longer do we,thatsthegamechangersnolongerdowe
417.8,3.2,have trailing indicators we're going to,havetrailingindicatorsweregoingto
419.4,4.639,have leading indicators we're going to,haveleadingindicatorsweregoingto
421.0,5.0,be able to proactively take action based,beabletoproactivelytakeactionbased
424.039,4.44,on what's happening in our markets at,onwhatshappeninginourmarketsat
426.0,4.24,the moment and so whether you're running,themomentandsowhetheryourerunning
428.479,4.16,a small business a mediumsized business,asmallbusinessamediumsizedbusiness
430.24,4.32,or a large corporation you'll be able to,oralargecorporationyoullbeableto
432.639,3.921,do things which people may have inferred,dothingswhichpeoplemayhaveinferred
434.56,4.319,you could always have done but in,youcouldalwayshavedonebutin
436.56,5.4,reality you had to have this magical,realityyouhadtohavethismagical
438.879,5.401,lineup of Internet plus LOM plus small,lineupofinternetpluslomplussmall
441.96,3.919,language models plus the ability to,languagemodelsplustheabilityto
444.28,4.639,communicate freely over the Internet,communicatefreelyovertheinternet
445.879,4.76,through vo things to facilitate that so,throughvothingstofacilitatethatso
448.919,3.361,I think if you look looking at where the,ithinkifyoulooklookingatwherethe
450.639,3.801,next trillion dollar part of this,nexttrilliondollarpartofthis
452.28,5.28,industry is going to come from it's it's,industryisgoingtocomefromitsits
454.44,5.879,the certainly Industries like uh Banking,thecertainlyindustrieslikeuhbanking
457.56,4.28,and and brokerage it's required by law,andandbrokerageitsrequiredbylaw
460.319,3.521,and for that matter in medicine too to,andforthatmatterinmedicinetooto
461.84,3.919,record every conversation so there's,recordeveryconversationsotheres
463.84,4.16,nothing new there but it's from the,nothingnewtherebutitsfromthe
465.759,4.321,opportunity to create Advanced business,opportunitytocreateadvancedbusiness
468.0,4.08,services and the ability for service,servicesandtheabilityforservice
470.08,3.72,providers to sell them to the companies,providerstosellthemtothecompanies
472.08,3.44,or some companies to deploy them,orsomecompaniestodeploythem
473.8,3.32,themselves that's where the next,themselvesthatswherethenext
475.52,2.959,trillion dollar or2 trillion dollar has,trilliondollaror2trilliondollarhas
477.12,3.479,come from and that's going to happen,comefromandthatsgoingtohappen
478.479,3.881,tomorrow and while there is a lot about,tomorrowandwhilethereisalotabout
480.599,5.44,hype about AI which I'm not going to get,hypeaboutaiwhichimnotgoingtoget
482.36,6.2,into this stuff is real it's getting,intothisstuffisrealitsgetting
486.039,4.28,stronger and our ability to understand,strongerandourabilitytounderstand
488.56,4.56,this changes the way how we will do,thischangesthewayhowwewilldo
490.319,4.641,business so from my perspective sure we,businesssofrommyperspectivesurewe
493.12,3.4,can be compliant and we will be and we,canbecompliantandwewillbeandwe
494.96,3.4,will protect people's private,willprotectpeoplesprivate
496.52,3.28,information and we've learned from,informationandwevelearnedfrom
498.36,4.48,Europe what we what's coming down the,europewhatwewhatscomingdownthe
499.8,4.92,pike however as a business person for,pikehoweverasabusinesspersonfor
502.84,4.52,the very first time a small business,theveryfirsttimeasmallbusiness
504.72,5.64,gets the same tools as a large business,getsthesametoolsasalargebusiness
507.36,5.559,and you have a a par which we've never,andyouhaveaaparwhichwevenever
510.36,4.08,had before and I'm super excited about,hadbeforeandimsuperexcitedabout
512.919,3.36,what this means to everyone involved in,whatthismeanstoeveryoneinvolvedin
514.44,3.519,the ecosystem that's super interesting,theecosystemthatssuperinteresting
516.279,4.88,and I know Tony know why's done a lot of,andiknowtonyknowwhysdonealotof
517.959,5.361,work on you know implementing AI in,workonyouknowimplementingaiin
521.159,4.601,terms of being able to give this sort of,termsofbeingabletogivethissortof
523.32,3.92,technology to folks right so building,technologytofolksrightsobuilding
525.76,2.72,off of what Jeff was talking about can,offofwhatjeffwastalkingaboutcan
527.24,2.68,you talk a little about like what how,youtalkalittleaboutlikewhathow
528.48,3.72,that's positioned like what it's good,thatspositionedlikewhatitsgood
529.92,5.76,with and how people should be using,withandhowpeopleshouldbeusing
532.2,6.24,it so it starts,itsoitstarts
535.68,6.36,with you see that,withyouseethat
538.44,5.16,AI llms are cool and you can kind of put,aillmsarecoolandyoucankindofput
542.04,3.08,two and two together that you could,twoandtwotogetherthatyoucould
543.6,5.16,figure out how to have a conversation,figureouthowtohaveaconversation
545.12,6.68,with it um what it's really evolving,withitumwhatitsreallyevolving
548.76,7.88,towards every year,towardseveryyear
551.8,7.76,is employing the AI in a practical use,isemployingtheaiinapracticaluse
556.64,4.36,case um and you think about the llm,caseumandyouthinkaboutthellm
559.56,4.36,mostly as,mostlyas
561.0,5.04,just almost like a software library that,justalmostlikeasoftwarelibrarythat
563.92,5.479,you have to write an application around,youhavetowriteanapplicationaround
566.04,5.6,right where it's a stream a stream of,rightwhereitsastreamastreamof
569.399,3.401,decisions that you can kind of coers,decisionsthatyoucankindofcoers
571.64,4.28,into what you,intowhatyou
572.8,4.92,want but there's takes a lot of work to,wantbuttherestakesalotofworkto
575.92,5.0,kind of orchestrate those things to kind,kindoforchestratethosethingstokind
577.72,4.28,of actually feel useful so like I'm,ofactuallyfeelusefulsolikeim
580.92,5.599,imagining,imagining
582.0,8.0,soon you know virtual developers who can,soonyouknowvirtualdeveloperswhocan
586.519,5.281,like one part of one system is deciding,likeonepartofonesystemisdeciding
590.0,3.56,what the architecture is and then want,whatthearchitectureisandthenwant
591.8,3.279,to break it down into the functions and,tobreakitdownintothefunctionsand
593.56,3.8,then you write one of the functions and,thenyouwriteoneofthefunctionsand
595.079,4.76,you run a unit test in real time at full,yourunaunittestinrealtimeatfull
597.36,6.52,speed until you've created like you know,speeduntilyouvecreatedlikeyouknow
599.839,6.961,whole application put it in a rest API,wholeapplicationputitinarestapi
603.88,4.84,test it again um and as long as you have,testitagainumandaslongasyouhave
606.8,3.64,something that's kind of that's kind of,somethingthatskindofthatskindof
608.72,3.4,normal computer programming still,normalcomputerprogrammingstill
610.44,6.48,because you're you're just taking this,becauseyoureyourejusttakingthis
612.12,7.2,um feature that you can have it make,umfeaturethatyoucanhaveitmake
616.92,6.72,Dynamic,dynamic
619.32,5.959,decisions and wrap it up into a a a loop,decisionsandwrapitupintoaaaloop
623.64,3.879,you know so that you can get the right,youknowsothatyoucangettheright
625.279,4.041,thing so one of the things that we've,thingsooneofthethingsthatweve
627.519,5.88,been doing for years is building our,beendoingforyearsisbuildingour
629.32,6.199,ivrs for people um we've made ivrs like,ivrsforpeopleumwevemadeivrslike
633.399,4.401,a lot easier over the years um they,aloteasierovertheyearsumthey
635.519,4.0,started out pretty rigid and you would,startedoutprettyrigidandyouwould
637.8,3.12,just kind of fill out a few answers to,justkindoffilloutafewanswersto
639.519,3.041,questions and maybe you could record,questionsandmaybeyoucouldrecord
640.92,3.64,audio files and that's like your,audiofilesandthatslikeyour
642.56,4.839,contribution to it and then that it,contributiontoitandthenthatit
644.56,4.68,would take forever to make one um and,wouldtakeforevertomakeoneumand
647.399,4.521,then we started allowing you to write it,thenwestartedallowingyoutowriteit
649.24,4.039,as scripts and then pretty soon the TTS,asscriptsandthenprettysoonthetts
651.92,3.359,sounded so good you didn't need to,soundedsogoodyoudidntneedto
653.279,4.281,bother making like actual audio prompts,bothermakinglikeactualaudioprompts
655.279,4.761,but we went back so far that we used to,butwewentbacksofarthatweusedto
657.56,4.12,even we were multilingual with sound,evenweweremultilingualwithsound
660.04,3.919,files that were chopped up in little,filesthatwerechoppedupinlittle
661.68,5.48,pieces where it would be like you have,pieceswhereitwouldbelikeyouhave
663.959,5.68,17 messages and it could say that in any,17messagesanditcouldsaythatinany
667.16,6.2,different language on demand um so we've,differentlanguageondemandumsoweve
669.639,6.0,been doing this forever um and what we,beendoingthisforeverumandwhatwe
673.36,5.84,thought was a quick insertion point into,thoughtwasaquickinsertionpointinto
675.639,7.041,this is that our kind of,thisisthatourkindof
679.2,7.48,Pinocchio just needed a soul so we got,pinocchiojustneededasoulsowegot
682.68,6.68,this llm integration in an orchestrator,thisllmintegrationinanorchestrator
686.68,6.0,so that it could control all of these,sothatitcouldcontrolallofthese
689.36,6.08,parts that we already had all at once,partsthatwealreadyhadallatonce
692.68,4.599,and run do that run Loop making sure it,andrundothatrunloopmakingsureit
695.44,4.839,works and then calling back to real,worksandthencallingbacktoreal
697.279,5.201,computer programs to validate so that,computerprogramstovalidatesothat
700.279,5.481,way you make an ivr that you put into,wayyoumakeanivrthatyouputinto
702.48,4.2,place that you know you can trick people,placethatyouknowyoucantrickpeople
705.76,3.12,because they don't want to leave a,becausetheydontwanttoleavea
706.68,4.12,voicemail they just did too late like,voicemailtheyjustdidtoolatelike
708.88,4.24,they AI answers the phone says how you,theyaianswersthephonesayshowyou
710.8,4.92,doing like I'm looking for Fred he's not,doinglikeimlookingforfredhesnot
713.12,5.04,here right now um why you calling he,hererightnowumwhyyoucallinghe
715.72,4.119,tells you you like to leave a message no,tellsyouyouliketoleaveamessageno
718.16,3.44,thanks a little too late,thanksalittletoolate
719.839,3.401,just recorded that and also the,justrecordedthatandalsothe
721.6,4.84,transcript has been sent so the ticket's,transcripthasbeensentsothetickets
723.24,5.399,been open someone's going to call you um,beenopensomeonesgoingtocallyouum
726.44,4.12,so you these ivrs are better cuz you,soyoutheseivrsarebettercuzyou
728.639,4.241,don't have like you just want to run,donthavelikeyoujustwanttorun
730.56,5.2,when you hear one like please listen,whenyouhearonelikepleaselisten
732.88,5.12,carefully is are messages have changed,carefullyisaremessageshavechanged
735.76,4.68,recently and then you're just like no,recentlyandthenyourejustlikeno
738.0,6.72,click you know so now you actually have,clickyouknowsonowyouactuallyhave
740.44,6.36,something you can like use so for us,somethingyoucanlikeusesoforus
744.72,4.16,that was exciting that we could take,thatwasexcitingthatwecouldtake
746.8,4.479,kind of all these pieces and bring them,kindofallthesepiecesandbringthem
748.88,7.36,to life almost so there's still a big,tolifealmostsotheresstillabig
751.279,7.841,element of uh designing stuff but now,elementofuhdesigningstuffbutnow
756.24,4.839,that hard part is erased and I think the,thathardpartiserasedandithinkthe
759.12,3.44,same thing is going to happen with I,samethingisgoingtohappenwithi
761.079,4.12,mean it's starting that the phrase is,meanitsstartingthatthephraseis
762.56,5.959,starting to be coined of like agentic,startingtobecoinedoflikeagentic
765.199,4.841,services and you know we say AI agents,servicesandyouknowwesayaiagents
768.519,3.76,because that's what everyone calls them,becausethatswhateveryonecallsthem
770.04,3.84,but you know like an AI agent is really,butyouknowlikeanaiagentisreally
772.279,3.281,more than that it could be anything you,morethanthatitcouldbeanythingyou
773.88,2.88,write like we have a swimel generator,writelikewehaveaswimelgenerator
775.56,2.839,we're trying to make we talked about,weretryingtomakewetalkedabout
776.76,4.199,swimel earlier today it's a cool,swimelearliertodayitsacool
778.399,4.88,language to create on demand routing and,languagetocreateondemandroutingand
780.959,4.481,AI agents so we've already,aiagentssowevealready
783.279,6.961,successfully have experiment where we,successfullyhaveexperimentwherewe
785.44,7.12,use an llm to generate an AI agent from,useanllmtogenerateanaiagentfrom
790.24,4.24,swim all like make me an AI agent that,swimalllikemakemeanaiagentthat
792.56,4.16,looks up a joke on the website and tells,looksupajokeonthewebsiteandtells
794.48,4.96,me a joke randomly and actually spit out,meajokerandomlyandactuallyspitout
796.72,5.16,the swimel just called it on the phone,theswimeljustcalleditonthephone
799.44,4.759,asked us a looked up I can have bad joke,askedusalookedupicanhavebadjoke
801.88,5.44,joke pulled it down and set it you know,jokepulleditdownandsetityouknow
804.199,4.921,so like the the AI is making more AI,solikethetheaiismakingmoreai
807.32,5.4,right so here comes Skynet right imagine,rightsoherecomesskynetrightimagine
809.12,5.32,imagine if they we just saw a talk where,imagineiftheywejustsawatalkwhere
812.72,3.679,deploying all that kubernetes stuff,deployingallthatkubernetesstuff
814.44,3.68,right if you connected the AI to that,rightifyouconnectedtheaitothat
816.399,3.481,and let it just spit out the scripts and,andletitjustspitoutthescriptsand
818.12,4.56,make the kubernetes come up it starts,makethekubernetescomeupitstarts
819.88,4.72,making itself uh extra compute resources,makingitselfuhextracomputeresources
822.68,3.599,so that it can solve all the problems,sothatitcansolvealltheproblems
824.6,3.799,we're taking too long to solve it,weretakingtoolongtosolveit
826.279,4.201,doesn't need to be alive right just like,doesntneedtobealiverightjustlike
828.399,3.521,any computer program the first virus was,anycomputerprogramthefirstviruswas
830.48,3.4,just two programs that keep trying to,justtwoprogramsthatkeeptryingto
831.92,3.44,start each other you kill one of them,starteachotheryoukilloneofthem
833.88,3.319,the other one starts it again and you,theotheronestartsitagainandyou
835.36,4.279,can't get rid of it it's you know so,cantgetridofititsyouknowso
837.199,4.161,like it going to have to be l it just,likeitgoingtohavetobelitjust
839.639,3.801,has to be given instructions to never,hastobegiveninstructionstonever
841.36,3.839,stop and you could get it to do all,stopandyoucouldgetittodoall
843.44,4.6,kinds of stuff without like worrying,kindsofstuffwithoutlikeworrying
845.199,4.961,about that and don't try tricking it by,aboutthatanddonttrytrickingitby
848.04,3.52,telling it 2 plus 2 equal 5 until it,tellingit2plus2equal5untilit
850.16,3.4,finally agrees with you because it's,finallyagreeswithyoubecauseits
851.56,3.959,just getting fed up with you and and,justgettingfedupwithyouandand
853.56,3.639,just playing along at that point right,justplayingalongatthatpointright
855.519,3.201,that's great I mean and James this is,thatsgreatimeanandjamesthisis
857.199,3.601,some stuff that you were talking about,somestuffthatyouweretalkingabout
858.72,3.72,years ago right three or four years ago,yearsagorightthreeorfouryearsago
860.8,2.68,you were talking about AI agents and the,youweretalkingaboutaiagentsandthe
862.44,3.079,idea of how they could be interfaced,ideaofhowtheycouldbeinterfaced
863.48,3.32,with Communications and I mean part of,withcommunicationsandimeanpartof
865.519,3.081,the hard part of this too is in this,thehardpartofthistooisinthis
866.8,3.52,industry right doing things with AI,industryrightdoingthingswithai
868.6,3.56,involves to do them in real time which,involvestodotheminrealtimewhich
870.32,4.72,we all know is like the hardest form of,weallknowislikethehardestformof
872.16,4.679,doing any of this stuff um so there's,doinganyofthisstuffumsotheres
875.04,3.56,some I'm curious to know your thoughts,someimcurioustoknowyourthoughts
876.839,3.201,about that kind of thing okay so what am,aboutthatkindofthingokaysowhatam
878.6,3.359,I doing at the moment I I build mobile,idoingatthemomentiibuildmobile
880.04,3.76,networks I'm building another mobile,networksimbuildinganothermobile
881.959,3.921,network it's called World mobile it will,networkitscalledworldmobileitwill
883.8,4.36,launch in a few weeks time in the,launchinafewweekstimeinthe
885.88,5.959,USA um,usaum
888.16,6.16,yep available from your favorite browser,yepavailablefromyourfavoritebrowser
891.839,4.12,whatever um so the problem with building,whateverumsotheproblemwithbuilding
894.32,3.36,a mobile network is if you do it the,amobilenetworkisifyoudoitthe
895.959,3.721,traditional way in America and you say I,traditionalwayinamericaandyousayi
897.68,5.279,want to get you know like 10% of the US,wanttogetyouknowlike10oftheus
899.68,5.0,customers it'll cost you $50 billion and,customersitllcostyou50billionand
902.959,7.041,you think oh well that's all on towers,youthinkohwellthatsallontowers
904.68,8.079,and so on no uh um 60% of that money is,andsoonnouhum60ofthatmoneyis
910.0,5.199,on C customer acquisition which is,onccustomeracquisitionwhichis
912.759,5.721,selling and all of that in Mobile is,sellingandallofthatinmobileis
915.199,5.521,done by Voice because it's a large,donebyvoicebecauseitsalarge
